Strategy,Final Value,Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Ticker
Enhanced DCA,39358.59,206.33,8.31,0.37,69.21,A
DCA,37564.82,201.66,8.12,0.36,69.21,A
Weighted DCA,28529.94,174.15,6.97,0.33,77.65,A
Weighted DCA,126991.34,323.47,5.21,0.27,94.43,AA
Enhanced DCA,122626.42,319.97,5.15,0.27,94.43,AA
DCA,121819.64,319.31,5.14,0.27,94.43,AA
Weighted DCA,13393.71,98.53,14.83,0.78,21.15,AAAU
DCA,12652.4,92.84,13.91,0.73,20.94,AAAU
Enhanced DCA,12314.18,90.13,13.48,0.71,20.66,AAAU
Weighted DCA,5006.25,0.12,0.25,0.0,0.08,AACB
DCA,5004.62,0.09,0.18,0.0,0.06,AACB
Enhanced DCA,5002.52,0.05,0.1,0.0,0.03,AACB
Weighted DCA,5014.92,0.3,0.46,0.0,1.43,AACBU
DCA,5010.73,0.21,0.33,0.0,1.02,AACBU
Enhanced DCA,5006.27,0.13,0.19,0.0,0.66,AACBU
DCA,17524.15,125.41,7.36,0.32,96.5,AACG
Enhanced DCA,16906.35,121.83,7.14,0.32,96.5,AACG
Weighted DCA,14680.96,107.71,6.29,0.3,96.5,AACG
Weighted DCA,5016.53,0.33,1.13,0.0,0.08,AACI
DCA,5012.75,0.25,0.87,0.0,0.06,AACI
Enhanced DCA,5009.83,0.2,0.67,0.0,0.05,AACI
Weighted DCA,5017.09,0.34,0.9,0.0,0.26,AACIU
DCA,5012.9,0.26,0.68,0.0,0.19,AACIU
Enhanced DCA,5007.11,0.14,0.37,0.0,0.11,AACIU
Enhanced DCA,4748.21,-5.17,-2.24,-0.84,9.9,AACT
DCA,4576.31,-8.85,-3.81,-0.7,16.76,AACT
Weighted DCA,4415.17,-12.44,-5.31,-0.65,22.92,AACT
Enhanced DCA,176.98,-334.12,-22.66,0.4,99.98,AAGH
DCA,168.22,-339.19,-22.96,0.4,99.98,AAGH
Weighted DCA,146.91,-352.74,-23.76,0.4,99.98,AAGH
DCA,4246.27,-16.34,-0.81,0.18,89.21,AAL
Enhanced DCA,4044.17,-21.22,-1.06,0.18,89.32,AAL
Weighted DCA,1768.67,-103.92,-5.06,0.14,96.2,AAL
Weighted DCA,5059.56,1.18,1.13,-0.76,0.42,AAM
DCA,5041.77,0.83,0.79,-1.56,0.29,AAM
Enhanced DCA,5023.76,0.47,0.45,-3.59,0.16,AAM
Weighted DCA,5073.49,1.46,1.25,-0.46,2.84,AAM-UN
DCA,5050.34,1.0,0.86,-1.27,2.02,AAM-UN
Enhanced DCA,5031.61,0.63,0.54,-2.76,1.14,AAM-UN
Weighted DCA,3551.43,-34.21,-0.75,0.14,97.2,AAME
Enhanced DCA,3391.37,-38.82,-0.85,0.14,97.23,AAME
DCA,3356.97,-39.84,-0.87,0.14,97.23,AAME
Enhanced DCA,16226.88,117.72,11.33,0.4,78.04,AAMI
DCA,16221.44,117.69,11.32,0.4,78.24,AAMI
Weighted DCA,16158.06,117.3,11.28,0.4,78.19,AAMI
DCA,15260.08,111.58,7.26,0.38,99.12,AAMTF
Enhanced DCA,15204.2,111.21,7.23,0.38,99.2,AAMTF
Weighted DCA,14522.66,106.63,6.93,0.38,99.27,AAMTF
DCA,10320.94,72.47,6.22,0.27,98.49,AAOI
Weighted DCA,10164.7,70.95,6.09,0.27,98.49,AAOI
Enhanced DCA,10099.7,70.31,6.03,0.27,98.49,AAOI
Weighted DCA,1857288.95,591.74,19.79,0.66,72.35,AAON
DCA,1811064.49,589.22,19.7,0.66,67.92,AAON
Enhanced DCA,1668658.2,581.03,19.4,0.65,65.42,AAON
Weighted DCA,18417.81,130.39,5.63,0.3,86.41,AAP
DCA,16711.59,120.67,5.2,0.29,86.41,AAP
Enhanced DCA,16055.06,116.66,5.02,0.28,86.41,AAP
Weighted DCA,5687.27,12.88,20.13,0.0,8.92,AAPG
DCA,5505.76,9.64,14.7,0.0,6.82,AAPG
Enhanced DCA,5324.27,6.28,9.36,0.0,4.59,AAPG
Weighted DCA,206.26,-318.81,-12.77,0.17,99.9,AAPI
Enhanced DCA,191.85,-326.05,-13.04,0.16,99.91,AAPI
DCA,165.96,-340.55,-13.58,0.15,99.91,AAPI
Weighted DCA,17769860.51,817.58,20.01,0.52,81.8,AAPL
Enhanced DCA,16103847.02,807.74,19.75,0.51,81.8,AAPL
DCA,16012082.35,807.17,19.73,0.51,81.8,AAPL
Weighted DCA,9693.28,66.2,18.23,0.4,72.39,AAQL
Enhanced DCA,9144.61,60.37,16.5,0.39,72.13,AAQL
DCA,7796.2,44.42,11.89,0.35,71.87,AAQL
Weighted DCA,5947.61,17.36,30.78,0.0,14.43,AARD
Enhanced DCA,5730.2,13.63,23.46,0.0,10.65,AARD
DCA,5666.81,12.52,21.35,0.0,10.43,AARD
DCA,96776.96,296.3,15.51,0.36,98.0,AASP
Enhanced DCA,96241.98,295.74,15.48,0.36,97.99,AASP
Weighted DCA,91496.18,290.69,15.19,0.36,98.0,AASP
Weighted DCA,7034.41,34.14,2.35,0.17,61.84,AAT
DCA,6376.6,24.32,1.67,0.14,61.85,AAT
Enhanced DCA,6000.23,18.24,1.25,0.11,61.82,AAT
Weighted DCA,20187.7,139.56,4.7,0.28,94.46,AATC
Enhanced DCA,20032.14,138.79,4.67,0.28,94.48,AATC
DCA,19822.56,137.74,4.64,0.28,94.48,AATC
Enhanced DCA,585.09,-214.54,-10.29,0.16,99.41,AAUAF
DCA,547.83,-221.12,-10.59,0.16,99.41,AAUAF
Weighted DCA,383.35,-256.82,-12.19,0.15,99.4,AAUAF
Weighted DCA,7312.12,38.01,39.62,0.93,14.01,AAUC
DCA,6629.7,28.21,28.11,0.92,10.66,AAUC
Enhanced DCA,6286.17,22.89,22.26,0.91,8.44,AAUC
DCA,905.3,-170.89,-31.39,-1.76,91.97,AAUGF
Enhanced DCA,828.76,-179.73,-32.72,-1.77,92.26,AAUGF
Weighted DCA,379.24,-257.9,-43.37,-2.66,96.43,AAUGF
Weighted DCA,47343.91,224.8,28.35,0.38,86.53,AAVXF
Enhanced DCA,46919.22,223.9,28.22,0.38,86.53,AAVXF
DCA,45725.18,221.32,27.85,0.38,86.53,AAVXF
Enhanced DCA,3129.5,-46.86,-10.2,0.12,82.81,AAWH
DCA,3085.99,-48.26,-10.49,0.12,82.51,AAWH
Weighted DCA,2466.14,-70.68,-14.99,0.07,85.42,AAWH
Weighted DCA,935739.12,523.19,14.99,0.58,87.65,AB
DCA,829123.25,511.09,14.61,0.57,87.65,AB
Enhanced DCA,725065.26,497.68,14.21,0.57,87.64,AB
DCA,3079.72,-48.46,-3.23,-0.26,59.29,ABAKF
Enhanced DCA,3069.15,-48.8,-3.26,-0.26,59.51,ABAKF
Weighted DCA,2934.68,-53.28,-3.55,-0.28,61.64,ABAKF
Enhanced DCA,11495.76,83.25,9.06,0.33,98.76,ABAT
Weighted DCA,10603.07,75.17,8.14,0.34,98.75,ABAT
DCA,10437.33,73.6,7.96,0.33,98.76,ABAT
Weighted DCA,168395.4,351.69,15.47,0.53,71.86,ABBNY
Enhanced DCA,161312.0,347.39,15.27,0.56,71.86,ABBNY
DCA,159040.76,345.97,15.2,0.56,71.86,ABBNY
Weighted DCA,37580.62,201.71,17.15,0.96,45.09,ABBV
DCA,35098.66,194.87,16.53,0.93,45.09,ABBV
Enhanced DCA,33960.01,191.57,16.22,0.91,45.07,ABBV
Weighted DCA,103812.01,303.31,10.16,0.46,86.63,ABCB
DCA,91600.39,290.8,9.72,0.45,86.63,ABCB
Enhanced DCA,89037.95,287.96,9.62,0.44,86.61,ABCB
Enhanced DCA,105.97,-385.4,-18.08,0.07,99.51,ABCFF
DCA,98.06,-393.16,-18.41,0.02,99.55,ABCFF
Weighted DCA,42.6,-476.54,-21.85,0.08,99.57,ABCFF
DCA,3028.07,-50.15,-9.92,-0.01,80.2,ABCL
Enhanced DCA,2813.36,-57.51,-11.29,-0.03,81.99,ABCL
Weighted DCA,2179.97,-83.01,-15.88,-0.1,85.72,ABCL
Enhanced DCA,247.38,-300.63,-7.23,0.21,99.41,ABCP
DCA,245.23,-301.5,-7.25,0.22,99.51,ABCP
Weighted DCA,201.66,-321.06,-7.7,0.21,99.58,ABCP
Weighted DCA,24.63,-531.33,-11.12,0.0,99.62,ABEO
Enhanced DCA,5.02,-690.4,-14.21,0.03,99.92,ABEO
DCA,0.01,-1276.01,-24.66,0.05,100.0,ABEO
Enhanced DCA,77325.97,273.86,10.07,0.35,73.73,ABEV
DCA,75155.57,271.01,9.96,0.35,73.73,ABEV
Weighted DCA,72585.12,267.53,9.82,0.35,73.73,ABEV
Weighted DCA,110704.1,309.74,14.08,0.49,92.71,ABG
Enhanced DCA,108575.45,307.8,13.98,0.48,92.76,ABG
DCA,105506.6,304.93,13.85,0.48,92.76,ABG
Enhanced DCA,585.84,-214.42,-36.45,0.01,99.73,ABIT
DCA,571.54,-216.89,-36.78,0.04,99.77,ABIT
Weighted DCA,320.93,-274.6,-44.04,0.09,99.9,ABIT
Enhanced DCA,3079.13,-48.48,-9.15,-0.71,62.04,ABL
DCA,3070.46,-48.76,-9.2,-0.75,62.79,ABL
Weighted DCA,2934.14,-53.3,-10.01,-0.84,62.78,ABL
Weighted DCA,5275.93,5.37,2.93,0.12,19.48,ABLLL
DCA,5192.9,3.79,2.05,0.07,14.46,ABLLL
Enhanced DCA,5152.52,3.0,1.63,0.03,11.49,ABLLL
Enhanced DCA,3434.5,-37.56,-11.55,-0.57,45.59,ABLV
DCA,2884.45,-55.01,-16.46,-0.66,56.85,ABLV
Weighted DCA,1932.89,-95.04,-26.7,-0.49,79.11,ABLV
Weighted DCA,145190.14,336.86,14.97,0.53,69.29,ABLZF
DCA,129666.34,325.55,14.43,0.54,69.29,ABLZF
Enhanced DCA,125065.73,321.94,14.26,0.54,69.28,ABLZF
Weighted DCA,535276.02,467.33,10.8,0.53,59.64,ABM
DCA,466781.9,453.64,10.47,0.52,59.64,ABM
Enhanced DCA,443682.39,448.57,10.34,0.51,59.64,ABM
Enhanced DCA,4555.17,-9.32,-1.92,-0.07,36.85,ABNB
DCA,4482.03,-10.94,-2.25,-0.07,37.16,ABNB
Weighted DCA,4416.03,-12.42,-2.55,0.01,43.32,ABNB
DCA,2031.02,-90.09,-19.09,-0.66,86.27,ABOS
Enhanced DCA,1922.9,-95.56,-20.12,-0.68,87.3,ABOS
Weighted DCA,1584.06,-114.94,-23.68,-0.78,90.41,ABOS
Enhanced DCA,1772.55,-103.7,-25.2,-1.01,70.41,ABP
DCA,358.62,-263.49,-52.18,-1.0,94.88,ABP
Weighted DCA,100.41,-390.79,-66.52,-0.99,98.62,ABP
Weighted DCA,5.89,-674.43,-50.74,0.33,100.0,ABQQ
Enhanced DCA,5.13,-688.23,-51.45,0.32,100.0,ABQQ
DCA,0.12,-1062.39,-67.23,0.34,100.0,ABQQ
Weighted DCA,13610.48,100.14,4.78,0.29,97.61,ABR
Enhanced DCA,12812.32,94.1,4.48,0.28,97.57,ABR
DCA,12556.8,92.08,4.38,0.28,97.74,ABR
Enhanced DCA,5902.92,16.6,3.89,0.35,12.87,ABR-PD
DCA,5831.59,15.39,3.6,0.31,12.73,ABR-PD
Weighted DCA,5772.26,14.36,3.35,0.25,17.52,ABR-PD
Weighted DCA,5885.95,16.31,4.0,0.29,18.11,ABR-PE
Enhanced DCA,5872.47,16.08,3.94,0.35,15.9,ABR-PE
DCA,5864.01,15.94,3.9,0.34,16.28,ABR-PE
Weighted DCA,6841.16,31.35,8.17,0.47,13.83,ABR-PF
DCA,6709.81,29.41,7.65,0.48,10.66,ABR-PF
Enhanced DCA,6700.96,29.28,7.61,0.48,10.61,ABR-PF
Enhanced DCA,6290.38,22.96,5.62,0.27,64.61,ABSI
DCA,6030.4,18.74,4.56,0.25,64.56,ABSI
Weighted DCA,6021.22,18.59,4.53,0.27,66.05,ABSI
Weighted DCA,2502208.38,621.55,14.61,0.72,45.66,ABT
DCA,2288048.88,612.6,14.39,0.72,45.66,ABT
Enhanced DCA,2197553.67,608.57,14.29,0.71,45.66,ABT
Enhanced DCA,27.47,-520.41,-49.58,-0.99,99.79,ABTC
Weighted DCA,2.67,-753.38,-62.89,-0.5,99.99,ABTC
DCA,2.4,-764.28,-63.42,-0.13,100.0,ABTC
DCA,1479.57,-121.77,-10.07,0.29,99.31,ABTS
Enhanced DCA,1418.24,-126.0,-10.4,0.29,99.33,ABTS
Weighted DCA,985.02,-162.45,-13.2,0.28,99.31,ABTS
Weighted DCA,5747.07,13.93,0.77,0.27,97.18,ABUS
Enhanced DCA,5703.64,13.17,0.73,0.26,97.19,ABUS
DCA,5250.55,4.89,0.27,0.25,97.19,ABUS
Weighted DCA,0.81,-873.21,-34.18,-0.23,100.0,ABVC
DCA,0.02,-1243.04,-44.87,-0.24,100.0,ABVC
Enhanced DCA,0.02,-1250.53,-45.06,-0.3,100.0,ABVC
Weighted DCA,15560.16,113.53,145.87,0.95,62.18,ABVE
Enhanced DCA,12972.74,95.34,112.87,0.94,54.24,ABVE
DCA,12244.1,89.56,103.34,0.94,51.46,ABVE
Weighted DCA,37500.08,201.49,180.67,0.68,36.57,ABVX
DCA,28003.18,172.29,141.68,0.68,26.65,ABVX
Enhanced DCA,26872.97,168.17,136.64,0.68,23.42,ABVX
Enhanced DCA,22467.73,150.26,36.92,0.54,50.62,ABXXF
Weighted DCA,22000.92,148.16,36.32,0.53,50.61,ABXXF
DCA,21637.58,146.5,35.85,0.53,50.59,ABXXF
Weighted DCA,12335.61,90.31,13.98,0.68,36.63,ACA
Enhanced DCA,11182.06,80.49,12.37,0.62,36.62,ACA
DCA,11106.62,79.81,12.26,0.61,36.63,ACA
Weighted DCA,12997.77,95.53,4.58,0.32,96.01,ACAD
Enhanced DCA,12471.41,91.4,4.38,0.32,95.97,ACAD
DCA,12367.83,90.57,4.34,0.32,96.07,ACAD
Enhanced DCA,827.76,-179.85,-30.51,-0.19,92.04,ACAT
Weighted DCA,765.86,-187.62,-31.6,-0.03,95.38,ACAT
DCA,684.14,-198.9,-33.14,-0.13,94.81,ACAT
Weighted DCA,675.55,-200.17,-16.35,0.22,99.79,ACB
Enhanced DCA,537.51,-223.02,-18.03,0.18,99.79,ACB
DCA,517.64,-226.79,-18.31,0.18,99.79,ACB
Weighted DCA,28.01,-518.48,-50.04,-0.39,99.67,ACBM
Enhanced DCA,1.05,-847.07,-67.81,-0.4,99.99,ACBM
DCA,1.04,-847.6,-67.84,-0.4,99.99,ACBM
Enhanced DCA,5401.5,7.72,0.42,0.15,95.75,ACCL
DCA,5339.67,6.57,0.36,0.15,95.75,ACCL
Weighted DCA,4620.35,-7.9,-0.43,0.13,95.74,ACCL
DCA,1635.85,-111.73,-5.41,0.04,96.33,ACCO
Enhanced DCA,1629.15,-112.14,-5.42,0.04,96.36,ACCO
Weighted DCA,1220.09,-141.05,-6.77,0.02,96.92,ACCO
Weighted DCA,150915.42,340.73,21.25,0.37,76.32,ACCS
Enhanced DCA,140404.22,333.51,20.76,0.39,76.32,ACCS
DCA,109196.79,308.37,19.05,0.42,76.32,ACCS
DCA,2133.74,-85.16,-22.24,-0.87,66.4,ACDC
Enhanced DCA,2110.01,-86.27,-22.5,-0.86,66.55,ACDC
Weighted DCA,1791.57,-102.63,-26.16,-0.94,71.66,ACDC
Weighted DCA,5227.02,4.44,0.55,0.1,57.81,ACEL
DCA,5211.98,4.15,0.51,0.09,49.06,ACEL
Enhanced DCA,5176.12,3.46,0.43,0.08,47.05,ACEL
Enhanced DCA,211.97,-316.08,-33.74,-0.72,97.96,ACET
DCA,192.96,-325.47,-34.55,-0.74,98.13,ACET
Weighted DCA,146.67,-352.9,-36.85,-0.62,98.6,ACET
Enhanced DCA,1312.01,-133.79,-3.9,0.28,99.37,ACFN
DCA,1278.45,-136.38,-3.97,0.28,99.37,ACFN
Weighted DCA,1241.43,-139.32,-4.06,0.28,99.41,ACFN
Weighted DCA,228778.36,382.33,13.58,0.65,54.69,ACGL
Enhanced DCA,221206.38,378.97,13.45,0.64,53.84,ACGL
DCA,217910.1,377.46,13.4,0.64,54.22,ACGL
Enhanced DCA,5228.38,4.47,1.04,0.02,18.12,ACGLN
Weighted DCA,5185.97,3.65,0.85,0.02,18.12,ACGLN
DCA,5171.53,3.37,0.78,-0.0,18.12,ACGLN
Weighted DCA,6811.24,30.91,3.88,0.26,36.13,ACGLO
DCA,6572.93,27.35,3.43,0.24,29.93,ACGLO
Enhanced DCA,6437.32,25.27,3.16,0.22,25.33,ACGLO
Weighted DCA,6228.56,21.97,2.25,0.15,58.81,ACGP
DCA,5963.82,17.63,1.8,0.11,58.82,ACGP
Enhanced DCA,5888.99,16.36,1.67,0.1,58.82,ACGP
Enhanced DCA,6184.35,21.26,0.68,0.25,98.29,ACHC
DCA,5728.12,13.59,0.43,0.25,98.44,ACHC
Weighted DCA,5236.69,4.63,0.15,0.24,98.48,ACHC
Enhanced DCA,14760.21,108.25,25.41,0.52,58.46,ACHR
DCA,14307.91,105.14,24.59,0.53,58.52,ACHR
Weighted DCA,14034.76,103.21,24.09,0.46,61.09,ACHR
Weighted DCA,0.67,-891.68,-25.75,0.16,99.99,ACHV
Enhanced DCA,0.03,-1187.8,-32.74,0.14,100.0,ACHV
DCA,0.03,-1199.52,-33.01,0.14,100.0,ACHV
Weighted DCA,5864.97,15.96,3.08,0.18,30.52,ACI
DCA,5428.74,8.23,1.57,0.09,27.39,ACI
Enhanced DCA,5142.74,2.81,0.54,0.01,25.61,ACI
DCA,20790.05,142.5,8.29,0.26,98.73,ACIC
Enhanced DCA,20023.53,138.75,8.07,0.26,98.73,ACIC
Weighted DCA,17869.7,127.37,7.38,0.25,98.73,ACIC
Enhanced DCA,2210.34,-81.63,-8.66,0.05,86.16,ACIU
DCA,2185.65,-82.75,-8.77,0.05,86.11,ACIU
Weighted DCA,1726.85,-106.31,-11.12,0.0,89.94,ACIU
Weighted DCA,43205.07,215.65,7.31,0.29,90.1,ACIW
DCA,36464.25,198.69,6.71,0.28,90.1,ACIW
Enhanced DCA,34151.05,192.14,6.48,0.28,90.06,ACIW
Enhanced DCA,12146.6,88.76,3.59,0.34,98.71,ACLS
DCA,11601.01,84.17,3.4,0.33,98.71,ACLS
Weighted DCA,9314.9,62.22,2.5,0.32,98.75,ACLS
Weighted DCA,16678.43,120.47,39.04,1.97,50.43,ACLX
DCA,13689.51,100.72,31.73,2.16,49.5,ACLX
Enhanced DCA,13326.27,98.03,30.76,2.36,47.55,ACLX
Enhanced DCA,25812.92,164.14,9.34,0.47,54.09,ACM
Weighted DCA,25187.23,161.69,9.19,0.46,54.59,ACM
DCA,25045.33,161.12,9.16,0.46,54.12,ACM
Weighted DCA,5277.05,5.39,32.73,0.0,4.22,ACMIF
DCA,5187.8,3.69,21.36,0.0,3.24,ACMIF
Enhanced DCA,5112.43,2.22,12.38,0.0,1.89,ACMIF
Weighted DCA,53948.41,237.86,35.11,0.57,87.22,ACMR
Enhanced DCA,42209.09,213.32,30.98,0.57,87.22,ACMR
DCA,41574.51,211.8,30.73,0.57,87.23,ACMR
Weighted DCA,98569.56,298.13,13.13,0.62,41.02,ACN
Enhanced DCA,91294.62,290.47,12.77,0.62,41.02,ACN
DCA,90799.05,289.92,12.74,0.62,41.02,ACN
DCA,37882.12,202.5,6.65,0.37,63.37,ACNB
Weighted DCA,37575.02,201.69,6.62,0.37,63.36,ACNB
Enhanced DCA,37258.14,200.84,6.59,0.37,63.37,ACNB
Enhanced DCA,41926.49,212.65,4.78,0.28,91.72,ACNT
DCA,41291.38,211.12,4.74,0.28,91.72,ACNT
Weighted DCA,40679.69,209.63,4.71,0.28,91.72,ACNT
Weighted DCA,5204.02,4.0,4.58,0.63,19.81,ACOG
Enhanced DCA,5153.18,3.02,3.44,0.44,13.26,ACOG
DCA,5142.16,2.8,3.19,0.37,15.26,ACOG
DCA,474.67,-235.46,-49.48,-1.75,93.56,ACON
Enhanced DCA,29.15,-514.49,-77.51,-1.5,99.54,ACON
Weighted DCA,15.55,-577.31,-81.25,-1.82,99.77,ACON
Weighted DCA,9582.96,65.05,4.54,0.3,51.0,ACP
DCA,9211.51,61.1,4.25,0.28,51.03,ACP
Enhanced DCA,9021.72,59.02,4.11,0.27,51.03,ACP
Weighted DCA,5382.96,7.38,1.81,0.11,15.09,ACP-PA
DCA,5293.02,5.7,1.4,0.06,14.23,ACP-PA
Enhanced DCA,5265.77,5.18,1.27,0.03,13.8,ACP-PA
Weighted DCA,38.51,-486.64,-25.98,0.42,100.0,ACPS
Enhanced DCA,26.68,-523.31,-27.64,0.39,99.99,ACPS
DCA,23.81,-534.7,-28.15,0.4,100.0,ACPS
Enhanced DCA,6144.91,20.62,1.06,0.19,92.46,ACR
DCA,5543.2,10.31,0.53,0.17,92.5,ACR
Weighted DCA,4018.64,-21.85,-1.11,0.14,92.45,ACR
Weighted DCA,15823.51,115.21,10.71,0.65,90.36,ACR-PC
DCA,14696.34,107.82,9.99,0.66,90.41,ACR-PC
Enhanced DCA,14484.97,106.37,9.85,0.65,90.36,ACR-PC
Weighted DCA,6855.24,31.56,7.47,0.46,17.75,ACR-PD
DCA,6659.77,28.66,6.76,0.53,17.76,ACR-PD
Enhanced DCA,6524.6,26.61,6.26,0.52,17.56,ACR-PD
Enhanced DCA,5668.86,12.55,0.94,0.09,75.68,ACRE
DCA,5663.83,12.47,0.93,0.09,75.68,ACRE
Weighted DCA,5499.98,9.53,0.71,0.08,75.68,ACRE
Weighted DCA,707.82,-195.5,-10.54,0.39,99.96,ACRG
Enhanced DCA,700.32,-196.56,-10.59,0.39,99.97,ACRG
DCA,566.51,-217.77,-11.66,0.38,99.97,ACRG
Enhanced DCA,27868.83,171.81,20.13,0.36,97.52,ACRL
DCA,22433.02,150.11,17.38,0.35,97.52,ACRL
Weighted DCA,14803.39,108.54,12.28,0.34,97.52,ACRL
Enhanced DCA,480.25,-234.29,-20.92,0.23,97.82,ACRS
DCA,455.89,-239.49,-21.33,0.23,97.82,ACRS
Weighted DCA,410.16,-250.07,-22.16,0.22,97.82,ACRS
DCA,2552.02,-67.26,-20.85,-0.88,69.77,ACRV
Enhanced DCA,2440.66,-71.72,-22.06,-0.81,74.59,ACRV
Weighted DCA,1244.55,-139.07,-38.33,-0.82,88.68,ACRV
Weighted DCA,8477.04,52.79,13.95,1.4,15.3,ACT
DCA,7733.32,43.61,11.39,1.42,15.17,ACT
Enhanced DCA,7414.34,39.4,10.23,1.43,13.85,ACT
Weighted DCA,6723.11,29.61,1.31,0.25,95.21,ACTG
Enhanced DCA,5943.74,17.29,0.76,0.24,95.21,ACTG
DCA,5669.04,12.56,0.55,0.24,95.21,ACTG
Enhanced DCA,4900.1,-2.02,-1.74,-1.82,14.5,ACTU
DCA,4810.05,-3.87,-3.32,-1.63,18.06,ACTU
Weighted DCA,4758.45,-4.95,-4.23,-1.33,24.37,ACTU
Weighted DCA,27131.49,169.13,3.78,0.24,94.6,ACU
DCA,26692.01,167.49,3.74,0.24,94.61,ACU
Enhanced DCA,25823.59,164.19,3.67,0.24,94.57,ACU
DCA,13224.93,97.27,31.19,0.52,70.4,ACUT
Enhanced DCA,13090.54,96.25,30.81,0.52,72.74,ACUT
Weighted DCA,11054.66,79.34,24.78,0.48,80.72,ACUT
Weighted DCA,18057.64,128.41,13.19,0.62,53.63,ACV
DCA,16609.53,120.05,12.28,0.58,53.64,ACV
Enhanced DCA,16417.99,118.89,12.16,0.58,53.61,ACV
Weighted DCA,3707.77,-29.9,-6.39,0.08,59.86,ACVA
Enhanced DCA,3535.37,-34.66,-7.37,0.02,59.86,ACVA
DCA,3484.31,-36.12,-7.67,0.01,59.86,ACVA
Enhanced DCA,366.13,-261.42,-45.79,-0.71,95.88,ACXP
DCA,343.03,-267.94,-46.61,-0.75,95.96,ACXP
Weighted DCA,315.48,-276.31,-47.64,-0.73,96.64,ACXP
Enhanced DCA,19311.7,135.13,3.68,0.22,86.23,AD
DCA,18806.82,132.48,3.6,0.22,86.23,AD
Weighted DCA,16997.53,122.36,3.32,0.21,86.23,AD
Enhanced DCA,4405.31,-12.66,-2.69,-0.04,66.47,ADAG
DCA,4228.25,-16.76,-3.54,-0.13,66.04,ADAG
Weighted DCA,3511.36,-35.34,-7.32,-0.16,66.49,ADAG
DCA,2565.67,-66.72,-3.1,0.14,95.11,ADAM
Enhanced DCA,2081.82,-87.62,-4.05,0.13,96.02,ADAM
Weighted DCA,1623.16,-112.51,-5.17,0.11,96.65,ADAM
Weighted DCA,5065.03,1.29,1.8,0.0,0.66,ADAMG
DCA,5046.57,0.93,1.28,0.0,0.47,ADAMG
Enhanced DCA,5041.41,0.82,1.14,0.0,0.31,ADAMG
Weighted DCA,5008.31,0.17,0.65,0.0,0.09,ADAMH
DCA,5005.72,0.11,0.44,0.0,0.07,ADAMH
Enhanced DCA,5003.4,0.07,0.26,0.0,0.04,ADAMH
Weighted DCA,5155.94,3.07,2.46,0.47,2.0,ADAMI
DCA,5111.17,2.2,1.75,0.13,1.41,ADAMI
Enhanced DCA,5101.5,2.01,1.6,0.02,1.25,ADAMI
Weighted DCA,7088.86,34.91,8.54,0.51,19.3,ADAML
DCA,6881.67,31.94,7.79,0.54,13.57,ADAML
Enhanced DCA,6764.62,30.23,7.36,0.53,14.19,ADAML
Weighted DCA,9295.61,62.01,10.98,0.57,31.05,ADAMM
Enhanced DCA,8859.94,57.21,10.09,0.58,24.43,ADAMM
DCA,8731.61,55.75,9.82,0.53,28.19,ADAMM
DCA,8918.58,57.87,7.58,0.44,66.83,ADAMN
Enhanced DCA,8584.13,54.05,7.06,0.42,49.0,ADAMN
Weighted DCA,8556.09,53.72,7.02,0.4,85.27,ADAMN
Weighted DCA,7047.66,34.33,9.29,0.64,18.19,ADAMZ
Enhanced DCA,6755.39,30.09,8.1,0.66,17.53,ADAMZ
DCA,6686.33,29.06,7.81,0.66,17.72,ADAMZ
Weighted DCA,104.09,-387.19,-31.07,0.01,99.66,ADAP
Enhanced DCA,94.63,-396.72,-31.7,0.0,99.71,ADAP
DCA,93.46,-397.96,-31.78,0.0,99.71,ADAP
Weighted DCA,2632050.15,626.61,17.36,0.52,79.89,ADBE
DCA,2251828.54,611.01,16.89,0.51,79.89,ADBE
Enhanced DCA,1947255.19,596.47,16.46,0.5,79.89,ADBE
Weighted DCA,174170.88,355.06,11.96,0.58,70.23,ADC
DCA,158864.61,345.86,11.63,0.58,70.25,ADC
Enhanced DCA,151289.11,340.98,11.46,0.58,70.25,ADC
Weighted DCA,5701.85,13.14,3.35,0.24,20.18,ADC-PA
Enhanced DCA,5611.26,11.53,2.93,0.25,18.62,ADC-PA
DCA,5591.86,11.19,2.84,0.24,19.93,ADC-PA
Enhanced DCA,2972.85,-51.99,-9.22,0.06,93.6,ADCT
DCA,2876.99,-55.27,-9.77,0.05,93.93,ADCT
Weighted DCA,1117.04,-149.88,-24.33,-0.07,97.55,ADCT
Weighted DCA,16618.66,120.11,5.65,0.31,80.97,ADEA
Enhanced DCA,15631.41,113.98,5.35,0.3,80.97,ADEA
DCA,15486.14,113.05,5.31,0.3,80.98,ADEA
Weighted DCA,6516.67,26.49,25.21,0.56,18.0,ADGM
Enhanced DCA,6089.51,19.71,18.21,0.52,13.72,ADGM
DCA,6049.43,19.05,17.55,0.54,12.2,ADGM
Weighted DCA,1878737.71,592.89,13.89,0.45,82.88,ADI
DCA,1676168.1,581.48,13.61,0.44,82.88,ADI
Enhanced DCA,1615919.56,577.82,13.52,0.44,82.88,ADI
Weighted DCA,27622.48,170.92,13.54,0.32,98.23,ADIA
Enhanced DCA,26856.81,168.11,13.3,0.32,98.24,ADIA
DCA,25746.03,163.88,12.94,0.32,98.24,ADIA
