Strategy,Final Value,Total Return (%),Sharpe Ratio,Max Drawdown (%),SQN,Num Trades
Dollar Cost Averaging,1301839.75,26.38,0.61,22.95,0,1
Enhanced DCA,1302917.05,26.46,0.61,23.15,0,1
